Date,Exercise,Muscle Groups,Sets,Reps,Total Reps,Weight,Negatives,Difficulty
10/4/2013,Front Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
10/4/2013,Side Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
10/4/2013,Forearms (Over),Forearms,3,5,15,20,FALSE,Unknown
10/4/2013,Forearms (Under),Forearms,3,5,15,20,FALSE,Unknown
10/4/2013,One-Handed Tricep Extensions,Triceps,3,5,15,36,FALSE,Unknown
10/4/2013,Dumbbell Rows,Back,3,5,15,36,FALSE,Unknown
10/4/2013,Hammer Curls,Biceps,3,5,15,36,FALSE,Unknown
10/4/2013,Concentration Curls,Biceps,3,5,15,36,FALSE,Unknown
10/4/2013,Shoulder Press,Deltoids,3,5,15,36,FALSE,Unknown
10/4/2013,Dumbbell Chest Press,Chest,3,5,15,36,FALSE,Unknown
10/7/2013,Front Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
10/7/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
10/7/2013,Forearms (Over),Forearms,3,8,24,14,FALSE,Unknown
10/7/2013,Forearms (Under),Forearms,3,8,24,14,FALSE,Unknown
10/7/2013,One-Handed Tricep Extensions,Triceps,3,8,24,30,FALSE,Unknown
10/7/2013,Dumbbell Rows,Back,3,8,24,36,FALSE,Unknown
10/7/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
10/7/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
10/7/2013,Shoulder Press,Deltoids,3,8,24,30,FALSE,Unknown
10/7/2013,Dumbbell Chest Press,Chest,3,8,24,36,FALSE,Unknown
10/9/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
10/9/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
10/9/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
10/9/2013,Forearms (Under),Forearms,3,8,24,20,FALSE,Unknown
10/9/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
10/9/2013,Dumbbell Rows,Back,3,8,24,36,FALSE,Unknown
10/9/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
10/9/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
10/9/2013,Shoulder Press,Deltoids,3,8,24,30,FALSE,Unknown
10/9/2013,Dumbbell Chest Press,Chest,3,8,24,36,FALSE,Unknown
10/11/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
10/11/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
10/11/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
10/11/2013,Forearms (Under),Forearms,3,8,24,20,FALSE,Unknown
10/11/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
10/11/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
10/11/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
10/11/2013,Shoulder Press,Deltoids,3,8,24,30,FALSE,Unknown
10/11/2013,Dumbbell Chest Press,Chest,3,8,24,36,FALSE,Unknown
10/14/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
10/14/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
10/14/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
10/14/2013,Forearms (Under),Forearms,3,8,24,20,FALSE,Unknown
10/14/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
10/14/2013,Dumbbell Rows,Back,3,8,24,36,FALSE,Unknown
10/14/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
10/14/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
10/14/2013,Shoulder Press,Deltoids,3,8,24,30,FALSE,Unknown
10/16/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
10/16/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
10/16/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
10/16/2013,Forearms (Under),Forearms,3,8,24,20,FALSE,Unknown
10/16/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
10/16/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
10/16/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
10/16/2013,Shoulder Press,Deltoids,3,8,24,30,TRUE,Unknown
10/18/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
10/18/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
10/18/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
10/18/2013,Forearms (Under),Forearms,3,8,24,20,FALSE,Unknown
10/18/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
10/18/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
10/18/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
10/18/2013,Shoulder Press,Deltoids,3,8,24,30,FALSE,Unknown
10/23/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/23/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/23/2013,Forearms (Over),Forearms,4,10,40,14,FALSE,Unknown
10/23/2013,Forearms (Under),Forearms,4,10,40,14,FALSE,Unknown
10/23/2013,One-Handed Tricep Extensions,Triceps,4,10,40,30,FALSE,Unknown
10/23/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
10/23/2013,Shoulder Press,Deltoids,4,10,40,30,FALSE,Unknown
10/25/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/25/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/25/2013,Forearms (Over),Forearms,4,10,40,14,FALSE,Unknown
10/25/2013,Forearms (Under),Forearms,4,10,40,14,FALSE,Unknown
10/25/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
10/25/2013,Concentration Curls,Biceps,4,10,40,26,FALSE,Unknown
10/28/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/28/2013,One-Handed Tricep Extensions,Triceps,4,10,40,30,FALSE,Unknown
10/28/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/28/2013,Forearms (Over),Forearms,4,10,40,14,FALSE,Unknown
10/28/2013,Forearms (Under),Forearms,4,10,40,14,FALSE,Unknown
10/28/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
10/28/2013,Concentration Curls,Biceps,4,10,40,26,FALSE,Unknown
10/28/2013,Shoulder Press,Deltoids,4,10,40,30,FALSE,Unknown
10/30/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/30/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
10/30/2013,One-Handed Tricep Extensions,Triceps,4,10,40,30,FALSE,Unknown
10/30/2013,Forearms (Over),Forearms,4,10,40,14,FALSE,Unknown
10/30/2013,Forearms (Under),Forearms,4,10,40,14,FALSE,Unknown
10/30/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
10/30/2013,Concentration Curls,Biceps,4,10,40,26,FALSE,Unknown
10/30/2013,Shoulder Press,Deltoids,4,10,40,30,FALSE,Unknown
11/1/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
11/1/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
11/1/2013,Forearms (Over),Forearms,4,10,40,14,FALSE,Unknown
11/1/2013,Forearms (Under),Forearms,4,10,40,14,FALSE,Unknown
11/1/2013,One-Handed Tricep Extensions,Triceps,4,10,40,30,FALSE,Unknown
11/1/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
11/1/2013,Concentration Curls,Biceps,4,10,40,26,FALSE,Unknown
11/1/2013,Shoulder Press,Deltoids,4,10,40,30,FALSE,Unknown
11/4/2013,Front Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/4/2013,Side Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/4/2013,Forearms (Over),Forearms,3,5,15,20,FALSE,Unknown
11/4/2013,Forearms (Under),Forearms,3,5,15,20,FALSE,Unknown
11/4/2013,One-Handed Tricep Extensions,Triceps,3,5,15,36,FALSE,Unknown
11/4/2013,Hammer Curls,Biceps,3,5,15,36,FALSE,Unknown
11/4/2013,Concentration Curls,Biceps,3,5,15,36,FALSE,Unknown
11/4/2013,Shoulder Press,Deltoids,3,5,15,36,FALSE,Unknown
11/6/2013,Front Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/6/2013,Side Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/6/2013,Forearms (Over),Forearms,3,5,15,20,FALSE,Unknown
11/6/2013,Forearms (Under),Forearms,3,5,15,20,FALSE,Unknown
11/6/2013,One-Handed Tricep Extensions,Triceps,3,5,15,36,FALSE,Unknown
11/6/2013,Hammer Curls,Biceps,3,5,15,36,FALSE,Unknown
11/6/2013,Concentration Curls,Biceps,3,5,15,36,FALSE,Unknown
11/6/2013,Shoulder Press,Deltoids,3,5,15,36,FALSE,Unknown
11/8/2013,Front Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/8/2013,Side Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/8/2013,Forearms (Over),Forearms,3,5,15,20,FALSE,Unknown
11/8/2013,Forearms (Under),Forearms,3,5,15,20,FALSE,Unknown
11/8/2013,One-Handed Tricep Extensions,Triceps,3,5,15,36,FALSE,Unknown
11/8/2013,Hammer Curls,Biceps,3,5,15,36,FALSE,Unknown
11/8/2013,Concentration Curls,Biceps,3,5,15,36,FALSE,Unknown
11/8/2013,Shoulder Press,Deltoids,3,5,15,36,FALSE,Unknown
11/11/2013,Front Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/11/2013,Side Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/11/2013,Forearms (Over),Forearms,3,5,15,20,FALSE,Unknown
11/11/2013,One-Handed Tricep Extensions,Triceps,3,5,15,36,FALSE,Unknown
11/11/2013,Hammer Curls,Biceps,3,5,15,36,FALSE,Unknown
11/11/2013,Concentration Curls,Biceps,3,5,15,36,FALSE,Unknown
11/11/2013,Shoulder Press,Deltoids,3,5,15,36,FALSE,Unknown
11/13/2013,Front Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/13/2013,Side Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/13/2013,Forearms (Over),Forearms,3,5,15,20,FALSE,Unknown
11/13/2013,One-Handed Tricep Extensions,Triceps,3,5,15,36,FALSE,Unknown
11/13/2013,Hammer Curls,Biceps,3,5,15,36,FALSE,Unknown
11/13/2013,Concentration Curls,Biceps,3,5,15,36,FALSE,Unknown
11/13/2013,Shoulder Press,Deltoids,3,5,15,36,FALSE,Unknown
11/15/2013,Front Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/15/2013,Side Shoulder Raises,Deltoids,3,5,15,20,FALSE,Unknown
11/15/2013,Squats,Quads,3,5,15,20,FALSE,Unknown
11/15/2013,Forearms (Over),Forearms,3,5,15,20,FALSE,Unknown
11/15/2013,One-Handed Tricep Extensions,Triceps,3,5,15,36,FALSE,Unknown
11/15/2013,Hammer Curls,Biceps,3,5,15,36,FALSE,Unknown
11/15/2013,Concentration Curls,Biceps,3,5,15,36,FALSE,Unknown
11/15/2013,Shoulder Press,Deltoids,3,5,15,36,FALSE,Unknown
11/18/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
11/18/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
11/18/2013,Squats,Quads,3,8,24,20,FALSE,Unknown
11/18/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
11/18/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
11/18/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
11/18/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
11/18/2013,Shoulder Press,Deltoids,3,8,24,36,FALSE,Unknown
11/20/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
11/20/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
11/20/2013,Squats,Quads,3,8,24,20,FALSE,Unknown
11/20/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
11/20/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
11/20/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
11/20/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
11/20/2013,Shoulder Press,Deltoids,3,8,24,36,FALSE,Unknown
11/22/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
11/22/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
11/22/2013,Squats,Quads,3,8,24,20,FALSE,Unknown
11/22/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
11/22/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
11/22/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
11/22/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
11/22/2013,Shoulder Press,Deltoids,3,8,24,36,FALSE,Unknown
11/25/2013,Front Shoulder Raises,Deltoids,3,8,24,20,FALSE,Unknown
11/25/2013,Side Shoulder Raises,Deltoids,3,8,24,14,FALSE,Unknown
11/25/2013,Squats,Quads,3,8,24,20,FALSE,Unknown
11/25/2013,Forearms (Over),Forearms,3,8,24,20,FALSE,Unknown
11/25/2013,One-Handed Tricep Extensions,Triceps,3,8,24,36,FALSE,Unknown
11/25/2013,Hammer Curls,Biceps,3,8,24,30,FALSE,Unknown
11/25/2013,Concentration Curls,Biceps,3,8,24,30,FALSE,Unknown
11/25/2013,Shoulder Press,Deltoids,3,8,24,36,FALSE,Unknown
12/2/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
12/2/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
12/2/2013,Forearms (Over),Forearms,4,10,40,14,FALSE,Unknown
12/2/2013,Squats,Quads,4,10,40,20,FALSE,Unknown
12/2/2013,One-Handed Tricep Extensions,Triceps,4,10,40,26,FALSE,Unknown
12/2/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
12/2/2013,Concentration Curls,Biceps,4,10,40,30,FALSE,Unknown
12/2/2013,Shoulder Press,Deltoids,4,10,40,30,FALSE,Unknown
12/4/2013,Dumbbell Kickbacks,Triceps,4,10,40,14,FALSE,Unknown
12/4/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
12/4/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
12/4/2013,Forearms (Over),Forearms,4,10,40,14,FALSE,Unknown
12/4/2013,Squats,Quads,4,10,40,20,FALSE,Unknown
12/4/2013,One-Handed Tricep Extensions,Triceps,4,10,40,26,FALSE,Unknown
12/4/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
12/4/2013,Concentration Curls,Biceps,4,10,40,30,FALSE,Unknown
12/4/2013,Shoulder Press,Deltoids,4,10,40,30,FALSE,Unknown
12/4/2013,Dumbbell Rows,Back,4,10,40,30,FALSE,Unknown
12/6/2013,Dumbbell Kickbacks,Triceps,4,10,40,14,FALSE,Unknown
12/6/2013,Front Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
12/6/2013,Side Shoulder Raises,Deltoids,4,10,40,14,FALSE,Unknown
12/6/2013,One-Handed Tricep Extensions,Triceps,4,10,40,26,FALSE,Unknown
12/6/2013,Hammer Curls,Biceps,4,10,40,26,FALSE,Unknown
12/6/2013,Concentration Curls,Biceps,4,10,40,30,FALSE,Unknown
12/6/2013,Shoulder Press,Deltoids,4,10,40,30,FALSE,Unknown
